A,B,C
0.024814815,0.496091889,0.024814815
0.024814815,0.496091889,0.024814815
0.023518519,0.445896019,0.023518519
0.022592593,0.459944179,0.022592593
0.02462963,0.576085948,0.02462963
0.026111111,0.55352844,0.026111111
0.026111111,0.496091889,0.026111111
0.026111111,0.496091889,0.026111111
0.026111111,0.496091889,0.026111111
0.026111111,0.496091889,0.026111111
0.026111111,0.496091889,0.026111111
0.027407407,0.545885498,0.027407407
0.028333333,0.531373192,0.028333333
0.030925926,0.594323801,0.030925926
0.030925926,0.496091889,0.030925926
0.030925926,0.496091889,0.030925926
0.032037037,0.537530866,0.032037037
0.031666667,0.482371725,0.031666667
0.029074074,0.399821768,0.029074074
0.029074074,0.496091889,0.029074074
0.028518519,0.475137233,0.028518519
0.028518519,0.496091889,0.028518519
0.028518519,0.496091889,0.028518519
0.026851852,0.433011319,0.026851852
0.027962963,0.538576742,0.027962963
0.026666667,0.446861443,0.026666667
0.027962963,0.545712217,0.027962963
0.025185185,0.390606918,0.025185185
0.025185185,0.496091889,0.025185185
0.025185185,0.496091889,0.025185185
0.025740741,0.517554011,0.025740741
0.027592593,0.567390941,0.027592593
0.027407407,0.489043054,0.027407407
0.024814815,0.397296812,0.024814815
0.022777778,0.417211781,0.022777778
0.022777778,0.496091889,0.022777778
0.022777778,0.496091889,0.022777778
0.024444444,0.561462246,0.024444444
0.025925926,0.553596515,0.025925926
0.025,0.460482588,0.025
0.025925926,0.531905413,0.025925926
0.026851852,0.531701189,0.026851852
0.026851852,0.496091889,0.026851852
0.026851852,0.496091889,0.026851852
0.024074074,0.389882849,0.024074074
0.02462963,0.517702538,0.02462963
0.023518519,0.453012928,0.023518519
0.024259259,0.525011294,0.024259259
0.023703704,0.474505994,0.023703704
0.023703704,0.496091889,0.023703704
0.023703704,0.496091889,0.023703704
0.025185185,0.553862625,0.025185185
0.026111111,0.531862093,0.026111111
0.030185185,0.652583438,0.030185185
0.031111111,0.530779085,0.031111111
0.029444444,0.434001498,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.030740741,0.544876754,0.030740741
0.029814815,0.461516087,0.029814815
0.028888889,0.46132424,0.028888889
0.027777778,0.454133068,0.027777778
0.027777778,0.496091889,0.027777778
0.027777778,0.496091889,0.027777778
0.027777778,0.496091889,0.027777778
0.025555556,0.411604894,0.025555556
0.02537037,0.488956414,0.02537037
0.025185185,0.488944036,0.025185185
0.024444444,0.467475725,0.024444444
0.026666667,0.582342639,0.026666667
0.026666667,0.496091889,0.026666667
0.026666667,0.496091889,0.026666667
0.027407407,0.52444813,0.027407407
0.028888889,0.55254445,0.028888889
0.028888889,0.496091889,0.028888889
0.027407407,0.440146794,0.027407407
0.031851852,0.665449572,0.031851852
0.031851852,0.496091889,0.031851852
0.031851852,0.496091889,0.031851852
0.03037037,0.441143161,0.03037037
0.028703704,0.43372301,0.028703704
0.02962963,0.531094704,0.02962963
0.030555556,0.530896669,0.030555556
0.030555556,0.496091889,0.030555556
0.030555556,0.496091889,0.030555556
0.030555556,0.496091889,0.030555556
0.025925926,0.323033412,0.025925926
0.024814815,0.453365679,0.024814815
0.024444444,0.481752864,0.024444444
0.02537037,0.532029186,0.02537037
0.024814815,0.47465452,0.024814815
0.024814815,0.496091889,0.024814815
0.024814815,0.496091889,0.024814815
0.023888889,0.460235044,0.023888889
0.025,0.539368885,0.025
0.024444444,0.474605012,0.024444444
0.022592593,0.424217295,0.022592593
0.022222222,0.481548639,0.022222222
0.022222222,0.496091889,0.022222222
0.022222222,0.496091889,0.022222222
0.021666667,0.474221317,0.021666667
0.020925926,0.466832109,0.020925926
0.021851852,0.532839894,0.021851852
0.020555556,0.444949161,0.020555556
0.022222222,0.562396727,0.022222222
0.022222222,0.496091889,0.022222222
0.022222222,0.496091889,0.022222222
0.024074074,0.568987604,0.024074074
0.023888889,0.488888339,0.023888889
0.022777778,0.452814892,0.022777778
0.025925926,0.619573357,0.025925926
0.025555556,0.481851882,0.025555556
0.025555556,0.496091889,0.025555556
0.025555556,0.496091889,0.025555556
0.024074074,0.438989523,0.024074074
0.023888889,0.488888339,0.023888889
0.022777778,0.452814892,0.022777778
0.021296296,0.437980778,0.021296296
0.020185185,0.452097013,0.020185185
0.020185185,0.496091889,0.020185185
0.020185185,0.496091889,0.020185185
0.020925926,0.525630156,0.020925926
0.022962963,0.576939977,0.022962963
0.021296296,0.430795794,0.021296296
0.021296296,0.496091889,0.021296296
0.020555556,0.466764034,0.020555556
0.020555556,0.496091889,0.020555556
0.020555556,0.496091889,0.020555556
0.019259259,0.444522146,0.019259259
0.018333333,0.458947811,0.018333333
0.016851852,0.436297474,0.016851852
0.01462963,0.405527672,0.01462963
0.014444444,0.488430381,0.014444444
0.014444444,0.496091889,0.014444444
0.014444444,0.496091889,0.014444444
0.017407407,0.618793591,0.017407407
0.015740741,0.428413177,0.015740741
0.015555556,0.488486079,0.015555556
0.01537037,0.48847989,0.01537037
0.019444444,0.663766268,0.019444444
0.019444444,0.496091889,0.019444444
0.019444444,0.496091889,0.019444444
0.020555556,0.540612797,0.020555556
0.02,0.473992338,0.02
0.020185185,0.503487285,0.020185185
0.01962963,0.473936641,0.01962963
0.02037037,0.525735362,0.02037037
0.02037037,0.496091889,0.02037037
0.02037037,0.496091889,0.02037037
0.017777778,0.392822442,0.017777778
0.017222222,0.473590078,0.017222222
0.017222222,0.496091889,0.017222222
0.015,0.405744274,0.015
0.015555556,0.519014525,0.015555556
0.015555556,0.496091889,0.015555556
0.015555556,0.496091889,0.015555556
0.015925926,0.511315886,0.015925926
0.016296296,0.511278754,0.016296296
0.015,0.443067821,0.015
0.017592593,0.603055939,0.017592593
